PeakID (cmd=annotatePeaks.pl 20260526_sig_peak_file_for_homer.txt mm10 -annStats 20260526_annotation_stats.txt)	Chr	Start	End	Strand	Peak Score	Focus Ratio/Region Size	Annotation	Detailed Annotation	Distance to TSS	Nearest PromoterID	Entrez ID	Nearest Unigene	Nearest Refseq	Nearest Ensembl	Gene Name	Gene Alias	Gene Description	Gene Type
A_15439	chr5	112020856	112021356	+	0	NA	Intergenic	Intergenic	-135121	NR_166436	75640		NR_166436	ENSMUSG00000104538	1700016B01Rik	Gm42491	RIKEN cDNA 1700016B01 gene	ncRNA
A_16979	chr6	42396373	42396873	+	0	NA	Intergenic	Intergenic	-3615	NM_001001452	387514		NM_001001452	ENSMUSG00000046652	Tas2r143	Gm1404|Tas2r43|mt2r36	taste receptor, type 2, member 143	protein-coding
A_17988	chr6	95087169	95087669	+	0	NA	Intergenic	Lx8|LINE|L1	30212	NR_153843	102634268		NR_153843	ENSMUSG00000085413	Kbtbd8os	1700010K10Rik	kelch repeat and BTB (POZ) domain containing 8, opposite strand	ncRNA
A_18881	chr6	136906897	136907397	+	0	NA	TTS (NM_026983)	TTS (NM_026983)	15033	NM_026983	69187		NM_026983	ENSMUSG00000030219	Erp27	1810033M07Rik|1810047B09Rik	endoplasmic reticulum protein 27	protein-coding
A_26821	chr10	42251231	42251731	+	0	NA	intron (NM_001376967, intron 2 of 3)	intron (NM_001376967, intron 2 of 3)	25214	NM_019740	56484		NM_019740	ENSMUSG00000048756	Foxo3	1110048B16Rik|2010203A17Rik|FKHRL1|Fkhr2|Foxo3a	forkhead box O3	protein-coding
A_31669	chr12	17224981	17225481	+	0	NA	Intergenic	Intergenic	-41358	NM_027959	71853		NM_027959	ENSMUSG00000020571	Pdia6	1700015E05Rik|CaBP5|P5|Txndc7	protein disulfide isomerase associated 6	protein-coding
A_33447	chr12	111848198	111848698	+	0	NA	intron (NM_011625, intron 4 of 16)	Lx8|LINE|L1	34218	NM_001374721	68520		NM_026752	ENSMUSG00000021286	Zfyve21	1110013H04Rik	zinc finger, FYVE domain containing 21	protein-coding
A_7012	chr2	152785491	152785991	+	0	NA	intron (NM_001289716, intron 2 of 2)	intron (NM_001289716, intron 2 of 2)	-16720	NR_166047	102634681		NR_166047		Gm32211	-	predicted gene, 32211	pseudo
A_26695	chr10	37368960	37369460	+	0	NA	Intergenic	Intergenic	226740	NR_166106	100040846		NM_177177		5930403N24Rik	Gm16524	RIKEN cDNA 5930403N24 gene	ncRNA
A_23896	chr9	13597705	13598205	+	0	NA	Intergenic	Intergenic	-22034	NM_001013813	270118		NM_173776	ENSMUSG00000031925	Maml2	5930431H10	mastermind like transcriptional coactivator 2	protein-coding
A_36024	chr14	8309646	8310146	+	0	NA	promoter-TSS (NM_183187)	promoter-TSS (NM_183187)	-117	NM_001360338	268709		NM_183187	ENSMUSG00000021750	Fam107a	DRR1	family with sequence similarity 107, member A	protein-coding
A_30865	chr11	101700388	101700888	+	0	NA	Intergenic	Intergenic	-32318	NM_144831	217207		NM_144831	ENSMUSG00000034931	Dhx8	Ddx8|mDEAH6|mKIAA4096	DEAH-box helicase 8	protein-coding
A_45082	chr18	80316747	80317247	+	0	NA	intron (NM_001190373, intron 3 of 3)	intron (NM_001190373, intron 3 of 3)	-45784	NR_168057	665054		NR_168057	ENSMUSG00000102260	D330025C20Rik	-	RIKEN cDNA D330025C20 gene	ncRNA
A_36351	chr14	24902904	24903404	+	0	NA	Intergenic	Intergenic	-206107	NR_153781	102634576		NR_153781		Gm32123	-	predicted gene, 32123	ncRNA
A_11821	chr4	62440390	62440890	+	0	NA	Intergenic	Intergenic	-5390	NM_153504	76072		NM_153504	ENSMUSG00000063851	Rnf183	5830442J12Rik	ring finger protein 183	protein-coding
A_33856	chr13	20228317	20228817	+	0	NA	intron (NM_080288, intron 4 of 21)	intron (NM_080288, intron 4 of 21)	138060	NM_080288	140580		NM_080288	ENSMUSG00000041112	Elmo1	6330578D22Rik|C230095H21Rik|CED-12	engulfment and cell motility 1	protein-coding
A_10867	chr4	8939017	8939517	+	0	NA	Intergenic	Intergenic	187943	NM_001355382	320790		NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
A_16707	chr6	31502544	31503044	+	0	NA	intron (NM_013791, intron 17 of 17)	intron (NM_013791, intron 17 of 17)	61143	NM_013723	27205		NM_013723	ENSMUSG00000025608	Podxl	Ly102|PC|PCLP-1|Pclp1|Podxl1	podocalyxin-like	protein-coding
A_16246	chr6	5443045	5443545	+	0	NA	Intergenic	Intergenic	52885	NM_001355662	65255		NM_023048	ENSMUSG00000042607	Asb4	8430401O13Rik	ankyrin repeat and SOCS box-containing 4	protein-coding
A_36256	chr14	20595721	20596221	+	0	NA	intron (NM_030180, intron 3 of 20)	intron (NM_030180, intron 3 of 20)	22383	NM_030180	78787		NM_030180	ENSMUSG00000034235	Usp54	4930429G18Rik|C030002J06Rik	ubiquitin specific peptidase 54	protein-coding
A_24378	chr9	40568032	40568532	+	0	NA	Intergenic	Intergenic	-36899	NM_001357617	235283		NM_172768	ENSMUSG00000040111	Gramd1b	3222402H23|A930008A22Rik|mKIAA1201	GRAM domain containing 1B	protein-coding
A_24544	chr9	48736265	48736765	+	0	NA	intron (NM_001033324, intron 3 of 6)	intron (NM_001033324, intron 3 of 6)	99426	NM_001033324	235320		NM_001033324	ENSMUSG00000066687	Zbtb16	PLZF|Zfp145|lu	zinc finger and BTB domain containing 16	protein-coding
A_278	chr1	20921099	20921599	+	0	NA	intron (NM_001355122, intron 1 of 2)	intron (NM_001355122, intron 1 of 2)	3509	NM_001355122	74229		NM_028829	ENSMUSG00000025931	Paqr8	1700019B16Rik|3110001D06Rik	progestin and adipoQ receptor family member VIII	protein-coding
A_22312	chr8	66494571	66495071	+	0	NA	Intergenic	Intergenic	-8291	NM_001357208	66282		NM_025465	ENSMUSG00000025591	Tma16	1810029B16Rik	translation machinery associated 16	protein-coding
A_29206	chr11	24628581	24629081	+	0	NA	Intergenic	Intergenic	101891	NR_033491	100038617		NR_033491	ENSMUSG00000073103	Gm10466	-	predicted gene 10466	ncRNA
A_41312	chr16	72794949	72795449	+	0	NA	intron (NM_019413, intron 2 of 28)	intron (NM_019413, intron 2 of 28)	132050	NM_019413	19876		NM_019413	ENSMUSG00000022883	Robo1	DUTT1|Gm310	roundabout guidance receptor 1	protein-coding
A_6787	chr2	143451214	143451714	+	0	NA	Intergenic	Intergenic	-94669	NM_008792	18549		NM_008792	ENSMUSG00000027419	Pcsk2	6330411F23Rik|Nec-2|Nec2|PC2|Phpp-2|SPC2	proprotein convertase subtilisin/kexin type 2	protein-coding
A_44638	chr18	62780437	62780937	+	0	NA	Intergenic	Intergenic	-24340	NR_037693	78449		NR_037693	ENSMUSG00000041789	2700046A07Rik	A330042I05Rik	RIKEN cDNA 2700046A07 gene	ncRNA
A_16698	chr6	31285071	31285571	+	0	NA	intron (NR_040261, intron 3 of 4)	L2c|LINE|L2	64970	NR_040259	73652		NR_040257	ENSMUSG00000087380	2210408F21Rik	-	RIKEN cDNA 2210408F21 gene	ncRNA
A_11715	chr4	56654348	56654848	+	0	NA	Intergenic	Intergenic	86827	NM_025271	11471		NM_025271	ENSMUSG00000070980	Actl7b	Gm26657|Tact1	actin-like 7b	protein-coding
A_20671	chr7	110715501	110716001	+	0	NA	Intergenic	Intergenic	-52455	NM_001276301	11717		NM_009667	ENSMUSG00000005686	Ampd3	-	adenosine monophosphate deaminase 3	protein-coding
A_38681	chr15	38585563	38586063	+	0	NA	intron (NR_045757, intron 2 of 2)	L2b|LINE|L2	9121	NR_045757	69679		NR_045757	ENSMUSG00000102106	2310043O21Rik	-	RIKEN cDNA 2310043O21 gene	ncRNA
A_32872	chr12	84219138	84219638	+	0	NA	promoter-TSS (NM_001163501)	promoter-TSS (NM_001163501)	-507	NM_001163501	238317		NM_001163501	ENSMUSG00000042507	Mideas	9430029N19Rik|C130039O16Rik|Elmsan1|Gm260	mitotic deacetylase associated SANT domain protein	protein-coding
A_595	chr1	37686969	37687469	+	0	NA	intron (NM_028096, intron 1 of 9)	L1MD1|LINE|L1	32592	NM_028096	72097		NM_028096	ENSMUSG00000026090	Cracdl	2010300C02Rik	capping protein inhibiting regulator of actin like	protein-coding
A_21401	chr8	10899009	10899509	+	0	NA	promoter-TSS (NR_102285)	promoter-TSS (NR_102285)	-663	NR_102285	71624		NR_102285	ENSMUSG00000109089	4833411C07Rik	-	RIKEN cDNA 4833411C07 gene	ncRNA
A_16269	chr6	6242055	6242555	+	0	NA	Intergenic	MER70B|LTR|ERVL	-6354	NR_136906	101056138		NR_136904	ENSMUSG00000093482	Gm20619	-	predicted gene 20619	ncRNA
A_26737	chr10	39648266	39648766	+	0	NA	intron (NM_134000, intron 7 of 8)	intron (NM_134000, intron 7 of 8)	-34834	NR_152260	100504626		NR_152259	ENSMUSG00000086915	Gm16364	Gm16365|Hilnc	predicted gene 16364	ncRNA
A_28841	chr11	3484179	3484679	+	0	NA	Intergenic	L2a|LINE|L2	-3798	NM_172791	237625		NM_172791	ENSMUSG00000034579	Pla2g3	sPLA2-III	phospholipase A2, group III	protein-coding
A_22059	chr8	47268372	47268872	+	0	NA	intron (NM_175162, intron 1 of 4)	MER5A|DNA|hAT-Charlie	20780	NM_001286376	71069		NM_175162	ENSMUSG00000038143	Stox2	4933409N07Rik|mKIAA1392	storkhead box 2	protein-coding
A_35109	chr13	81136667	81137167	+	0	NA	intron (NM_054053, intron 87 of 89)	intron (NM_054053, intron 87 of 89)	172843	NR_015587	319983		NR_015587	ENSMUSG00000097098	9330111N05Rik	-	RIKEN cDNA 9330111N05 gene	ncRNA
A_4294	chr2	25478197	25478697	+	0	NA	Intergenic	Intergenic	-8698	NM_008963	19215		NM_008963	ENSMUSG00000015090	Ptgds	21kDa|L-PGDS|PGD2|PGDS|PGDS2|Ptgs3	prostaglandin D2 synthase (brain)	protein-coding
A_23550	chr8	120300484	120300984	+	0	NA	Intergenic	Intergenic	-72504	NR_110496	434353		NR_110496	ENSMUSG00000097960	A330074K22Rik	-	RIKEN cDNA A330074K22 gene	ncRNA
A_33450	chr12	111920010	111920510	+	0	NA	Intergenic	Intergenic	-12205	NM_011625	21981		NM_011625	ENSMUSG00000021285	Ppp1r13b	ASPP1|Tp53bp2|Trp53bp2|p85	protein phosphatase 1, regulatory subunit 13B	protein-coding
A_8367	chr3	52600727	52601227	+	0	NA	Intergenic	Intergenic	84013	NR_153344	102631981		NR_153344	ENSMUSG00000103965	Gm30173	-	predicted gene, 30173	ncRNA
A_13447	chr4	150871614	150872114	+	0	NA	Intergenic	Intergenic	16794	NM_133753	74155		NM_133753	ENSMUSG00000028967	Errfi1	1300002F13Rik|Mig-6|Mig6|RALT	ERBB receptor feedback inhibitor 1	protein-coding
A_10868	chr4	8954421	8954921	+	0	NA	Intergenic	Intergenic	203347	NM_001355382	320790		NM_001033395	ENSMUSG00000041235	Chd7	A730019I05Rik|Cycn|Cyn|Dz|Edy|Flo|GENA 47|GENA 60|Gena 52|Lda|Mt|Obt|Todo|WBE1|Whi|metis	chromodomain helicase DNA binding protein 7	protein-coding
A_7264	chr2	163722478	163722978	+	0	NA	intron (NM_001277096, intron 3 of 3)	intron (NM_001277096, intron 3 of 3)	27511	NM_007398	11486		NM_007398	ENSMUSG00000017697	Ada	-	adenosine deaminase	protein-coding
A_31882	chr12	31818135	31818635	+	0	NA	intron (NM_001163126, intron 10 of 22)	L1M3|LINE|L1	-104502	NM_175191	73010		NM_175191	ENSMUSG00000044067	Gpr22	2900068K05Rik	G protein-coupled receptor 22	protein-coding
A_12587	chr4	106749674	106750174	+	0	NA	exon (NM_001347159, exon 14 of 16)	exon (NM_001347159, exon 14 of 16)	16009	NM_146149	230579		NM_146149	ENSMUSG00000034871	Fam151a	2010309H15Rik	family with sequence simliarity 151, member A	protein-coding
A_26576	chr10	28133724	28134224	+	0	NA	intron (NM_001359356, intron 1 of 30)	intron (NM_001359356, intron 1 of 30)	59154	NM_008983	19272		NM_008983	ENSMUSG00000019889	Ptprk	PTPk|RPTPkappa	protein tyrosine phosphatase receptor type K	protein-coding
A_35563	chr13	101811920	101812420	+	0	NA	Intergenic	Intergenic	-43953	NM_001077495	18708		NM_001024955	ENSMUSG00000041417	Pik3r1	PI3K|p50alpha|p55alpha|p85alpha	phosphoinositide-3-kinase regulatory subunit 1	protein-coding
A_42819	chr17	65746316	65746816	+	0	NA	intron (NM_133685, intron 1 of 6)	intron (NM_133685, intron 1 of 6)	26186	NM_133685	106572		NM_133685	ENSMUSG00000056515	Rab31	1700093E07Rik|Rab22B	RAB31, member RAS oncogene family	protein-coding
A_21637	chr8	25240408	25240908	+	0	NA	Intergenic	CpG	-39116	NM_199323	320165		NM_177089	ENSMUSG00000065954	Tacc1	4833447E04Rik|B230378H13Rik	transforming, acidic coiled-coil containing protein 1	protein-coding
A_8855	chr3	79192963	79193463	+	0	NA	Intergenic	Intergenic	-19706	NR_045502	70924		NR_045502	ENSMUSG00000104585	4921511C10Rik	-	RIKEN cDNA 4921511C10 gene	ncRNA
A_7518	chr2	178304266	178304766	+	0	NA	intron (NM_001177790, intron 8 of 12)	PB1D10|SINE|Alu	103142	NM_177191	320558		NM_177191	ENSMUSG00000060445	Sycp2	3830402K23Rik|4930518F03Rik	synaptonemal complex protein 2	protein-coding
A_12964	chr4	126661145	126661645	+	0	NA	Intergenic	Intergenic	-16248	NM_011970	26445		NM_011970	ENSMUSG00000028837	Psmb2	C7-I|D4Wsu33e|HC7-I	proteasome (prosome, macropain) subunit, beta type 2	protein-coding
A_19538	chr7	30295066	30295566	+	0	NA	intron (NM_001360763, intron 2 of 13)	intron (NM_001360763, intron 2 of 13)	3621	NM_001360764	76686		NM_001081114	ENSMUSG00000013921	Clip3	1500005P14Rik|Clipr-59	CAP-GLY domain containing linker protein 3	protein-coding
A_32420	chr12	66036190	66036690	+	0	NA	Intergenic	Intergenic	247961	NM_001162933	238217		NM_001162933	ENSMUSG00000060499	Rpl10l	EG238217	ribosomal protein L10-like	protein-coding
A_7265	chr2	163779426	163779926	+	0	NA	Intergenic	Intergenic	-29437	NM_001272052	11486		NM_007398	ENSMUSG00000017697	Ada	-	adenosine deaminase	protein-coding
A_43486	chr18	12667765	12668265	+	0	NA	intron (NM_028341, intron 1 of 13)	intron (NM_028341, intron 1 of 13)	24482	NM_028341	72747		NM_028341	ENSMUSG00000024424	Ttc39c	1700008N02Rik|2810439F02Rik	tetratricopeptide repeat domain 39C	protein-coding
A_31462	chr12	8344859	8345359	+	0	NA	Intergenic	Intergenic	31676	NM_021429	58240		NM_021429	ENSMUSG00000020605	Hs1bp3	-	HCLS1 binding protein 3	protein-coding
A_37490	chr14	78397822	78398322	+	0	NA	Intergenic	Intergenic	-65974	NR_168612	102632639		NR_168612		Gm30662	-	predicted gene, 30662	ncRNA
A_12683	chr4	111327071	111327571	+	0	NA	intron (NM_030231, intron 5 of 12)	intron (NM_030231, intron 5 of 12)	-87685	NR_033793	67621		NM_026279	ENSMUSG00000028545	Bend5	2310026E23Rik	BEN domain containing 5	protein-coding
A_37958	chr14	118883978	118884478	+	0	NA	intron (NM_001360413, intron 15 of 18)	L1_Rod|LINE|L1	29278	NM_001160099	58187		NM_021386	ENSMUSG00000022132	Cldn10	6720456I16Rik|Cldn10a|Cldn10b|D14Ertd728e	claudin 10	protein-coding
A_28998	chr11	11844469	11844969	+	0	NA	intron (NM_001190448, intron 7 of 14)	intron (NM_001190448, intron 7 of 14)	-23404	NR_045178	73321		NR_045178	ENSMUSG00000086391	1700042O10Rik	-	RIKEN cDNA 1700042O10 gene	ncRNA
A_7285	chr2	164515871	164516371	+	0	NA	Intergenic	Intergenic	18580	NM_001378795	78928		NM_133779	ENSMUSG00000017721	Pigt	2510012P17Rik|4930534E15Rik|CGI-06|NDAP|Ndap7	phosphatidylinositol glycan anchor biosynthesis, class T	protein-coding
A_21470	chr8	13529727	13530227	+	0	NA	Intergenic	Intergenic	32484	NM_025601	66501		NM_025601	ENSMUSG00000031452	1700029H14Rik	-	RIKEN cDNA 1700029H14 gene	protein-coding
A_12230	chr4	87126649	87127149	+	0	NA	intron (NM_172426, intron 2 of 10)	intron (NM_172426, intron 2 of 10)	101064	NM_001110240	76376		NM_172426	ENSMUSG00000037996	Slc24a2	2810021B17Rik|6330417K15Rik|Nckx2	solute carrier family 24 (sodium/potassium/calcium exchanger), member 2	protein-coding
A_4279	chr2	25265901	25266401	+	0	NA	intron (NM_175286, intron 1 of 3)	intron (NM_175286, intron 1 of 3)	3553	NM_175286	97031		NM_175286	ENSMUSG00000048707	Tprn	C430004E15Rik	taperin	protein-coding
A_7979	chr3	28654735	28655235	+	0	NA	intron (NM_001163007, intron 27 of 31)	intron (NM_001163007, intron 27 of 31)	-42918	NM_031197	20526		NM_031197	ENSMUSG00000027690	Slc2a2	Glut-2|Glut2	solute carrier family 2 (facilitated glucose transporter), member 2	protein-coding
A_17834	chr6	89419068	89419568	+	0	NA	intron (NM_025351, intron 6 of 7)	intron (NM_025351, intron 6 of 7)	-56705	NM_008881	18844		NM_008881	ENSMUSG00000030084	Plxna1	2600013D04Rik|NOV|PlexA1|Plxn1|mKIAA4053	plexin A1	protein-coding
A_29121	chr11	20858729	20859229	+	0	NA	Intergenic	Intergenic	-27871	NM_173752	216551		NM_173752	ENSMUSG00000042363	Lgalsl	1110067D22Rik|A530071M23|Grpa|Hspc159|Lgalsla	galectin like	protein-coding
A_33032	chr12	91050535	91051035	+	0	NA	intron (NR_045858, intron 2 of 3)	intron (NR_045858, intron 2 of 3)	4937	NR_045858	71349		NR_045858	ENSMUSG00000085004	5430427M07Rik	-	RIKEN cDNA 5430427M07 gene	ncRNA
A_41207	chr16	63086398	63086898	+	0	NA	Intergenic	MLT1F1|LTR|ERVL-MaLR	232341	NM_011173	19128		NM_011173	ENSMUSG00000022912	Pros1	-	protein S (alpha)	protein-coding
A_29702	chr11	49930939	49931439	+	0	NA	intron (NM_001347462, intron 1 of 13)	intron (NM_001347462, intron 1 of 13)	29028	NM_001347462	74563		NM_029004	ENSMUSG00000020374	Rasgef1c	9130006A14Rik	RasGEF domain family, member 1C	protein-coding
A_7342	chr2	167055315	167055815	+	0	NA	exon (NM_001033196, exon 3 of 14)	exon (NM_001033196, exon 3 of 14)	-7369	NR_138563	68949		NM_001081005	ENSMUSG00000074578	Zfas1	1500012F01Rik|Zfos1	zinc finger, NFX1-type containing 1, antisense RNA 1	ncRNA
A_27567	chr10	78446238	78446738	+	0	NA	intron (NM_172134, intron 7 of 10)	intron (NM_172134, intron 7 of 10)	-1331	NR_105873	102466762		NR_105873	ENSMUSG00000098279	Mir6908	Gm27827|mmu-mir-6908	microRNA 6908	ncRNA
A_39009	chr15	57847862	57848362	+	0	NA	Intergenic	MIRb|SINE|MIR	44306	NM_024207	67819		NM_024207	ENSMUSG00000022365	Derl1	1110021N07Rik|Derlin-1	Der1-like domain family, member 1	protein-coding
A_23691	chr8	124585677	124586177	+	0	NA	intron (NM_023709, intron 1 of 19)	intron (NM_023709, intron 1 of 19)	9816	NM_023709	73647		NM_023709	ENSMUSG00000031981	Capn9	2200003B16Rik|GC36|nCL-4|nCL4	calpain 9	protein-coding
A_35740	chr13	108834140	108834640	+	0	NA	intron (NM_011056, intron 1 of 16)	intron (NM_011056, intron 1 of 16)	180213	NM_011056	238871		NM_011056	ENSMUSG00000021699	Pde4d	9630011N22Rik|Dpde3	phosphodiesterase 4D, cAMP specific	protein-coding
A_39619	chr15	83312887	83313387	+	0	NA	intron (NM_001357756, intron 11 of 15)	intron (NM_001357756, intron 11 of 15)	28721	NR_162786	114483639		NR_162786		Mir12186	Gm51290|mmu-mir-12186	microRNA 12186	ncRNA
A_24628	chr9	52965658	52966158	+	0	NA	Intergenic	Intergenic	282204	NM_029936	77591		NM_029936	ENSMUSG00000053289	Ddx10	4632415A01Rik	DEAD box helicase 10	protein-coding
A_22452	chr8	70561660	70562160	+	0	NA	intron (NM_007924, intron 1 of 11)	PB1D11|SINE|Alu	22235	NM_007924	13716		NM_007924	ENSMUSG00000070002	Ell	Ell1|Men	elongation factor RNA polymerase II	protein-coding
A_16240	chr6	5282414	5282914	+	0	NA	intron (NM_183308, intron 2 of 8)	intron (NM_183308, intron 2 of 8)	15676	NM_183308	330260		NM_183308	ENSMUSG00000032667	Pon2	6330405I24Rik	paraoxonase 2	protein-coding
A_40510	chr16	24390507	24391007	+	0	NA	Intergenic	Intergenic	-2593	NM_178665	210126		NM_178665	ENSMUSG00000033306	Lpp	9430020K16Rik|B130055L10Rik|D630048H16	LIM domain containing preferred translocation partner in lipoma	protein-coding
A_19768	chr7	45981600	45982100	+	0	NA	intron (NM_018795, intron 26 of 30)	intron (NM_018795, intron 26 of 30)	48436	NM_018795	27421		NM_018795	ENSMUSG00000030834	Abcc6	Abcc1b|DCC|Dyscalc1|Mrp6|dyscalc	ATP-binding cassette, sub-family C member 6	protein-coding
A_32819	chr12	82275730	82276230	+	0	NA	intron (NM_001167983, intron 3 of 23)	intron (NM_001167983, intron 3 of 23)	-35369	NM_172579	217692		NM_172579	ENSMUSG00000042700	Sipa1l1	4931426N11Rik|Spar|mKIAA0440	signal-induced proliferation-associated 1 like 1	protein-coding
A_25828	chr9	118179283	118179783	+	0	NA	Intergenic	Intergenic	29302	NR_155294	100502695		NR_155294	ENSMUSG00000097402	Gm17399	-	predicted gene, 17399	ncRNA
A_29883	chr11	57271693	57272193	+	0	NA	intron (NM_001113325, intron 11 of 15)	intron (NM_001113325, intron 11 of 15)	246701	NM_001168667	67726		NM_026342	ENSMUSG00000020523	Fam114a2	1810073G14Rik|9030624B09Rik	family with sequence similarity 114, member A2	protein-coding
A_36086	chr14	12504440	12504940	+	0	NA	intron (NM_001359919, intron 14 of 30)	intron (NM_001359919, intron 14 of 30)	-158825	NM_080433	54713		NM_080433	ENSMUSG00000021743	Fezf2	Fez|Fezl|Zfp312	Fez family zinc finger 2	protein-coding
A_35676	chr13	106689062	106689562	+	0	NA	Intergenic	Intergenic	146990	NM_001378597	113523645		NM_001378597	ENSMUSG00000121855	Lrrc70	-	leucine rich repeat containing 70	protein-coding
A_12044	chr4	76193488	76193988	+	0	NA	intron (NR_160919, intron 13 of 39)	intron (NR_160919, intron 13 of 39)	150505	NM_001368992	19266		NM_011211	ENSMUSG00000028399	Ptprd	1110002J03Rik|3000002J10Rik|B230219D21Rik|R-PTP-delta	protein tyrosine phosphatase receptor type D	protein-coding
A_29148	chr11	22437413	22437913	+	0	NA	Intergenic	Intergenic	-74620	NM_153596	103765		NM_153596	ENSMUSG00000049904	Tmem17	-	transmembrane protein 17	protein-coding
A_12451	chr4	100276413	100276913	+	0	NA	intron (NM_001312690, intron 1 of 3)	intron (NM_001312690, intron 1 of 3)	180872	NM_001312690	26563		NM_013845	ENSMUSG00000035305	Ror1	2810404D04Rik|Ntrkr1	receptor tyrosine kinase-like orphan receptor 1	protein-coding
A_39240	chr15	68286931	68287431	+	0	NA	Intergenic	Intergenic	-28325	NM_198644	380993		NM_198644	ENSMUSG00000022335	Zfat	Gm922|Zfat1|Zfp406	zinc finger and AT hook domain containing	protein-coding
A_19797	chr7	47159074	47159574	+	0	NA	Intergenic	Intergenic	-25640	NM_013643	19259		NM_013643	ENSMUSG00000030854	Ptpn5	Step	protein tyrosine phosphatase, non-receptor type 5	protein-coding
A_6537	chr2	132513721	132514221	+	0	NA	intron (NR_028286, intron 2 of 3)	intron (NR_028286, intron 2 of 3)	23243	NR_028286	70371		NR_028286	ENSMUSG00000086379	1700026D11Rik	-	RIKEN cDNA 1700026D11 gene	ncRNA
A_47205	chrX	159458932	159459432	+	0	NA	promoter-TSS (NM_001313752)	promoter-TSS (NM_001313752)	57	NM_001359321	78283		NM_001081124	ENSMUSG00000041020	Map7d2	1600028E09Rik|2900002G04Rik|5330432J06Rik|C030036K04Rik|Mtap7d2	MAP7 domain containing 2	protein-coding
A_42424	chr17	43257699	43258199	+	0	NA	Intergenic	Intergenic	-12398	NM_133776	77596		NM_133776	ENSMUSG00000041293	Adgrf1	5031409J19Rik|Gpr110|KPG_009	adhesion G protein-coupled receptor F1	protein-coding
A_21685	chr8	27030957	27031457	+	0	NA	promoter-TSS (NM_001379178)	promoter-TSS (NM_001379178)	-96	NM_001379178	244373		NM_153592	ENSMUSG00000031483	Erlin2	Spfh2	ER lipid raft associated 2	protein-coding
A_44795	chr18	67745832	67746332	+	0	NA	Intergenic	Intergenic	-21461	NM_008977	19255		NM_008977	ENSMUSG00000024539	Ptpn2	Ptpt|TC-PTP	protein tyrosine phosphatase, non-receptor type 2	protein-coding
