ID	GeneID	geneSymbol	chr	strand	riExonStart_0base	riExonEnd	upstreamES	upstreamEE	downstreamES	downstreamEE	ID	IJC_SAMPLE_1	SJC_SAMPLE_1	IJC_SAMPLE_2	SJC_SAMPLE_2	IncFormLen	SkipFormLen	PValue	FDR	IncLevel1	IncLevel2	IncLevelDifference
2776	"ENSMUSG00000029859.7"	"Epha1"	chr6	-	42341470	42342054	42341470	42341598	42341709	42342054	2776	0,6,3,0	0,1,0,0	0,6,4	2,0,0	260	149	1	1.0	NA,0.775,1.0,NA	0.0,1.0,1.0	0.221
2778	"ENSMUSG00000027406.14"	"Idh3b"	chr2	-	130125857	130126168	130125857	130125956	130126090	130126168	2778	37,48,39,32	755,824,558,591	17,40,39	920,802,921	283	149	1	1.0	0.025,0.03,0.035,0.028	0.01,0.026,0.022	0.01
2780	"ENSMUSG00000085741.11"	"5430405H02Rik"	chr2	-	156694320	156695938	156694320	156694528	156695350	156695938	2780	28,44,53,63	0,0,0,0	33,28,17	2,0,0	971	149	1	1.0	1.0,1.0,1.0,1.0	0.717,1.0,1.0	0.094
2781	"ENSMUSG00000085741.11"	"5430405H02Rik"	chr2	-	156694320	156695938	156694320	156694610	156695350	156695938	2781	25,38,51,56	10,28,12,11	30,22,17	25,11,16	889	149	0.45982632385	1.0	0.295,0.185,0.416,0.46	0.167,0.251,0.151	0.149
2788	"ENSMUSG00000029576.18"	"Radil"	chr5	-	142471167	142471746	142471167	142471307	142471609	142471746	2788	18,17,15,12	28,34,23,30	20,15,15	21,28,23	451	149	1	1.0	0.175,0.142,0.177,0.117	0.239,0.15,0.177	-0.036
2791	"ENSMUSG00000055235.12"	"Wdr86"	chr5	-	24917847	24920659	24917847	24917951	24920523	24920659	2791	29,55,44,30	12,3,3,9	38,44,36	9,9,14	2721	149	1	1.0	0.117,0.501,0.445,0.154	0.188,0.211,0.123	0.13
2792	"ENSMUSG00000025651.15"	"Uqcrc1"	chr9	+	108776403	108776826	108776403	108776547	108776665	108776826	2792	19,4,7,4	1011,1517,864,966	6,7,20	1293,1285,1138	267	149	1	1.0	0.01,0.001,0.005,0.002	0.003,0.003,0.01	-0.001
2793	"ENSMUSG00000040506.17"	"Ambra1"	chr2	+	91602635	91604092	91602635	91602782	91603055	91604092	2793	147,244,178,168	33,45,30,43	182,189,171	35,36,47	422	149	1	1.0	0.611,0.657,0.677,0.58	0.647,0.65,0.562	0.012
2794	"ENSMUSG00000025138.15"	"Sirt7"	chr11	-	120509197	120511095	120509197	120509875	120510988	120511095	2794	124,161,119,138	55,84,62,59	92,87,96	46,68,40	1262	149	1	1.0	0.21,0.185,0.185,0.216	0.191,0.131,0.221	0.018
2795	"ENSMUSG00000025138.15"	"Sirt7"	chr11	-	120511249	120511709	120511249	120511330	120511472	120511709	2795	65,108,75,90	45,61,26,34	53,93,49	39,46,32	291	149	1	1.0	0.425,0.475,0.596,0.575	0.41,0.509,0.439	0.065
2796	"ENSMUSG00000025138.15"	"Sirt7"	chr11	-	120511249	120511881	120511249	120511709	120511782	120511881	2796	19,14,12,11	105,113,91,109	3,7,8	87,95,79	222	149	1	1.0	0.108,0.077,0.081,0.063	0.023,0.047,0.064	0.038
2797	"ENSMUSG00000035835.15"	"Plppr3"	chr10	-	79702245	79702559	79702245	79702419	79702501	79702559	2797	11,27,10,7	172,289,185,219	1,7,16	187,228,162	231	149	1	1.0	0.04,0.057,0.034,0.02	0.003,0.019,0.06	0.01
2798	"ENSMUSG00000035835.15"	"Plppr3"	chr10	-	79702668	79703141	79702668	79702712	79703005	79703141	2798	209,318,189,290	3,2,8,2	248,338,285	3,3,2	442	149	1	1.0	0.959,0.982,0.888,0.98	0.965,0.974,0.98	-0.021
2799	"ENSMUSG00000035835.15"	"Plppr3"	chr10	-	79702668	79703141	79702668	79702864	79703005	79703141	2799	40,50,31,45	107,154,141,103	23,45,49	178,187,171	290	149	1	1.0	0.161,0.143,0.101,0.183	0.062,0.11,0.128	0.047
2800	"ENSMUSG00000041506.16"	"Rrp9"	chr9	+	106360110	106360410	106360110	106360235	106360317	106360410	2800	2,8,1,3	78,104,100,63	0,9,2	100,93,65	231	149	1	1.0	0.016,0.047,0.006,0.03	0.0,0.059,0.019	-0.001
2804	"ENSMUSG00000031171.12"	"Ftsj1"	chrX	-	8116634	8116877	8116634	8116725	8116807	8116877	2804	0,0,0,0	87,75,60,64	1,0,2	106,85,106	231	149	1	1.0	0.0,0.0,0.0,0.0	0.006,0.0,0.012	-0.006
2805	"ENSMUSG00000022220.15"	"Adcy4"	chr14	-	56007248	56007589	56007248	56007363	56007481	56007589	2805	1,2,4,0	12,4,6,9	4,0,2	12,16,6	267	149	1	1.0	0.044,0.218,0.271,0.0	0.157,0.0,0.157	0.029
2806	"ENSMUSG00000022220.15"	"Adcy4"	chr14	-	56010117	56011016	56010117	56010243	56010878	56011016	2806	3,4,5,14	8,9,7,8	0,4,6	10,4,4	784	149	1	1.0	0.067,0.078,0.12,0.25	0.0,0.16,0.222	0.001
2807	"ENSMUSG00000022220.15"	"Adcy4"	chr14	-	56016098	56016519	56016098	56016257	56016391	56016519	2807	2,0,2,0	10,5,3,3	0,1,3	10,5,3	283	149	1	1.0	0.095,0.0,0.26,0.0	0.0,0.095,0.345	-0.058
2808	"ENSMUSG00000022220.15"	"Adcy4"	chr14	-	56019036	56019489	56019036	56019198	56019291	56019489	2808	1,1,0,0	5,8,4,5	0,1,0	9,5,7	242	149	1	1.0	0.11,0.071,0.0,0.0	0.0,0.11,0.0	0.009
2810	"ENSMUSG00000071646.10"	"Mta2"	chr19	+	8923630	8924114	8923630	8923748	8924011	8924114	2810	22,74,29,25	92,105,81,87	23,47,12	118,85,72	412	149	1	1.0	0.08,0.203,0.115,0.094	0.066,0.167,0.057	0.026
2815	"ENSMUSG00000041945.13"	"Mfsd9"	chr1	-	40823536	40825370	40823536	40823666	40825326	40825370	2815	8,2,4,2	6,11,2,1	3,4,2	25,12,8	1809	149	1	1.0	0.099,0.015,0.141,0.141	0.01,0.027,0.02	0.08
2816	"ENSMUSG00000026709.11"	"Dars2"	chr1	-	160872528	160873046	160872528	160872639	160872827	160873046	2816	1,8,13,12	38,63,51,58	6,5,6	59,67,65	337	149	1	1.0	0.012,0.053,0.101,0.084	0.043,0.032,0.039	0.025
2819	"ENSMUSG00000074643.13"	"Cpne1"	chr2	-	155915718	155916229	155915718	155915912	155916095	155916229	2819	26,47,45,44	1,0,0,0	31,27,49	4,3,0	332	149	1	1.0	0.921,1.0,1.0,1.0	0.777,0.802,1.0	0.121
2820	"ENSMUSG00000074643.13"	"Cpne1"	chr2	-	155915718	155916229	155915718	155915955	155916095	155916229	2820	7,23,19,23	76,111,89,91	8,10,21	91,83,103	289	149	1	1.0	0.045,0.097,0.099,0.115	0.043,0.058,0.095	0.024
2821	"ENSMUSG00000074643.13"	"Cpne1"	chr2	-	155920066	155920341	155920066	155920153	155920251	155920341	2821	9,8,9,24	93,162,69,116	7,8,4	118,96,101	247	149	1	1.0	0.055,0.029,0.073,0.111	0.035,0.048,0.023	0.032
2822	"ENSMUSG00000074643.13"	"Cpne1"	chr2	-	155920671	155920894	155920671	155920743	155920819	155920894	2822	7,22,15,11	93,90,56,58	6,7,12	128,68,48	225	149	1	1.0	0.047,0.139,0.151,0.112	0.03,0.064,0.142	0.034
2823	"ENSMUSG00000029687.17"	"Ezh2"	chr6	-	47517610	47519340	47517610	47517789	47519299	47519340	2823	27,76,83,39	6,17,0,1	30,49,40	10,9,11	1659	149	0.114094795037	1.0	0.288,0.286,1.0,0.778	0.212,0.328,0.246	0.326
2824	"ENSMUSG00000029772.18"	"Ahcyl2"	chr6	+	29863141	29867418	29863141	29863250	29864161	29867418	2824	23,58,43,30	3,4,5,12	46,27,22	2,0,5	1060	149	0.336391141314	1.0	0.519,0.671,0.547,0.26	0.764,1.0,0.382	-0.216
2825	"ENSMUSG00000029772.18"	"Ahcyl2"	chr6	+	29906506	29906758	29906506	29906575	29906679	29906758	2825	3,9,2,4	350,589,392,462	8,3,7	473,432,413	253	149	1	1.0	0.005,0.009,0.003,0.005	0.01,0.004,0.01	-0.003
2826	"ENSMUSG00000124469.1"	"ENSMUSG00000124469"	chr2	+	27471403	27472885	27471403	27471463	27472067	27472885	2826	1,6,0,10	0,0,2,0	10,8,6	0,0,0	753	149	1	1.0	1.0,1.0,0.0,1.0	1.0,1.0,1.0	-0.25
2827	"ENSMUSG00000021916.17"	"Glt8d1"	chr14	+	30731691	30732122	30731691	30731809	30732037	30732122	2827	71,81,63,39	36,44,50,50	28,28,35	31,41,27	377	149	1	1.0	0.438,0.421,0.332,0.236	0.263,0.213,0.339	0.085
2828	"ENSMUSG00000021916.17"	"Glt8d1"	chr14	+	30732037	30732366	30732037	30732122	30732253	30732366	2828	42,71,61,59	42,80,58,47	54,55,37	30,34,20	280	149	0.523242436173	1.0	0.347,0.321,0.359,0.4	0.489,0.463,0.496	-0.126
2829	"ENSMUSG00000021916.17"	"Glt8d1"	chr14	+	30732820	30733190	30732820	30732987	30733077	30733190	2829	60,101,48,81	59,125,66,87	42,28,29	66,86,48	239	149	0.672995683976	1.0	0.388,0.335,0.312,0.367	0.284,0.169,0.274	0.108
2830	"ENSMUSG00000021916.17"	"Glt8d1"	chr14	+	30732820	30733190	30732820	30732987	30733079	30733190	2830	60,102,48,81	0,1,0,0	42,28,29	0,0,0	241	149	1	1.0	1.0,0.984,1.0,1.0	1.0,1.0,1.0	-0.004
2831	"ENSMUSG00000006676.18"	"Usp19"	chr9	+	108370759	108371437	108370759	108371062	108371214	108371437	2831	55,60,37,59	140,141,121,124	41,30,27	158,156,161	301	149	1	1.0	0.163,0.174,0.131,0.191	0.114,0.087,0.077	0.072
2832	"ENSMUSG00000006676.18"	"Usp19"	chr9	+	108375094	108375440	108375094	108375235	108375321	108375440	2832	24,28,14,31	180,321,203,177	20,8,20	229,227,211	235	149	1	1.0	0.078,0.052,0.042,0.1	0.052,0.022,0.057	0.024
2833	"ENSMUSG00000006676.18"	"Usp19"	chr9	+	108375094	108375440	108375094	108375235	108375330	108375440	2833	26,32,22,37	12,15,12,14	22,10,25	6,13,4	244	149	1	1.0	0.57,0.566,0.528,0.617	0.691,0.32,0.792	-0.031
2835	"ENSMUSG00000022779.17"	"Top3b"	chr16	+	16707346	16708125	16707346	16707475	16707975	16708125	2835	38,106,83,58	47,80,49,46	47,34,54	56,67,84	649	149	1	1.0	0.157,0.233,0.28,0.224	0.162,0.104,0.129	0.092
2836	"ENSMUSG00000022554.8"	"Hgh1"	chr15	+	76254055	76254453	76254055	76254154	76254361	76254453	2836	13,31,7,8	43,56,19,24	5,10,13	30,34,45	356	149	1	1.0	0.112,0.188,0.134,0.122	0.065,0.11,0.108	0.045
2837	"ENSMUSG00000048997.18"	"Atxn7l2"	chr3	-	108113541	108114425	108113541	108113624	108114138	108114425	2837	67,66,28,59	27,26,15,12	33,41,31	20,30,21	663	149	0.533340809127	1.0	0.358,0.363,0.296,0.525	0.271,0.235,0.249	0.134
2840	"ENSMUSG00000097392.5"	"Thoc2l"	chr5	+	104698751	104702073	104698751	104698807	104698991	104702073	2840	90,146,83,57	0,0,0,2	65,85,69	0,0,1	333	149	1	1.0	1.0,1.0,1.0,0.927	1.0,1.0,0.969	-0.008
2841	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160863374	160862733	160862764	160863321	160863374	2841	75,104,122,87	109,150,102,113	55,49,30	178,114,136	706	149	1	1.0	0.127,0.128,0.202,0.14	0.061,0.083,0.044	0.087
2842	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160863374	160862733	160862846	160863321	160863374	2842	75,103,122,87	0,2,0,0	54,49,30	0,0,0	624	149	1	1.0	1.0,0.925,1.0,1.0	1.0,1.0,1.0	-0.019
2843	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160863374	160862733	160862885	160863321	160863374	2843	75,103,117,87	0,0,4,0	54,49,30	0,0,0	585	149	1	1.0	1.0,1.0,0.882,1.0	1.0,1.0,1.0	-0.029
2844	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862735	160863584	160862735	160862764	160863552	160863584	2844	117,136,152,106	0,0,2,2	73,92,51	0,0,0	937	149	1	1.0	1.0,1.0,0.924,0.894	1.0,1.0,1.0	-0.045
2845	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160863584	160863321	160863374	160863552	160863584	2845	58,48,54,30	408,606,381,410	22,56,27	581,391,446	327	149	1	1.0	0.061,0.035,0.061,0.032	0.017,0.061,0.027	0.012
2846	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160863584	160863321	160863382	160863552	160863584	2846	55,45,54,28	0,1,0,0	22,51,25	0,1,0	319	149	1	1.0	1.0,0.955,1.0,1.0	1.0,0.96,1.0	0.002
2847	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863552	160863814	160863552	160863584	160863664	160863814	2847	81,96,77,80	1,1,2,1	53,86,55	4,1,4	229	149	1	1.0	0.981,0.984,0.962,0.981	0.896,0.982,0.899	0.051
2849	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160863814	160863321	160863374	160863777	160863814	2849	137,170,145,128	2,5,0,1	96,141,84	5,0,0	552	149	1	1.0	0.949,0.902,1.0,0.972	0.838,1.0,1.0	0.01
2850	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160863814	160863321	160863584	160863777	160863814	2850	130,157,122,117	498,808,493,536	95,127,83	730,501,544	342	149	1	1.0	0.102,0.078,0.097,0.087	0.054,0.099,0.062	0.019
2851	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863552	160863814	160863552	160863584	160863787	160863814	2851	168,223,189,197	7,7,0,6	138,185,107	4,8,3	352	149	1	1.0	0.91,0.931,1.0,0.933	0.936,0.907,0.938	0.017
2852	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862735	160864149	160862735	160863814	160864118	160864149	2852	256,334,254,247	605,1002,634,678	218,220,145	875,616,670	453	149	1	1.0	0.122,0.099,0.116,0.107	0.076,0.105,0.066	0.029
2854	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863552	160864149	160863552	160863584	160864118	160864149	2854	336,414,329,321	3,17,3,10	264,297,191	10,5,4	683	149	1	1.0	0.961,0.842,0.96,0.875	0.852,0.928,0.912	0.012
2855	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863777	160864149	160863777	160863814	160864125	160864149	2855	292,382,289,281	0,0,0,1	254,251,185	0,0,2	460	149	1	1.0	1.0,1.0,1.0,0.989	1.0,1.0,0.968	0.008
2856	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160864422	160862733	160862764	160864389	160864422	2856	503,630,533,495	0,0,0,0	380,411,272	0,0,4	1774	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.851	0.05
2857	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862735	160864422	160862735	160864149	160864389	160864422	2857	198,227,170,179	591,1009,619,687	166,132,131	819,624,652	389	149	1	1.0	0.114,0.079,0.095,0.091	0.072,0.075,0.071	0.022
2858	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160864422	160863321	160863374	160864389	160864422	2858	444,542,435,419	0,0,2,0	329,375,248	0,0,0	1164	149	1	1.0	1.0,1.0,0.965,1.0	1.0,1.0,1.0	-0.009
2859	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863552	160864422	160863552	160863584	160864389	160864422	2859	437,529,412,408	0,3,0,8	328,361,247	1,0,0	954	149	1	1.0	1.0,0.965,1.0,0.888	0.981,1.0,1.0	-0.03
2861	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864118	160864422	160864118	160864149	160864395	160864422	2861	231,284,203,229	13,16,10,17	201,163,168	19,11,7	395	149	1	1.0	0.87,0.87,0.884,0.836	0.8,0.848,0.901	0.015
2862	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863777	160864734	160863777	160863814	160864693	160864734	2862	472,632,454,510	0,0,0,0	397,385,289	0,2,0	1028	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.965,1.0	0.012
2863	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863777	160864734	160863777	160864422	160864693	160864734	2863	176,254,175,232	138,227,165,172	165,153,126	196,159,155	420	149	1	1.0	0.312,0.284,0.273,0.324	0.23,0.254,0.224	0.062
2864	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160864734	160864389	160864526	160864693	160864734	2864	130,203,129,192	0,0,0,0	125,117,93	0,0,2	316	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.956	0.015
2865	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160864885	160862733	160864422	160864857	160864885	2865	215,298,210,311	395,671,416,494	188,188,151	527,409,425	584	149	1	1.0	0.122,0.102,0.114,0.138	0.083,0.105,0.083	0.029
2870	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863777	160864885	160863777	160864734	160864857	160864885	2870	74,116,86,118	163,267,186,192	62,74,61	216,193,174	272	149	1	1.0	0.199,0.192,0.202,0.252	0.136,0.174,0.161	0.054
2873	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160862733	160865117	160862733	160864885	160865074	160865117	2873	83,143,76,104	531,965,605,722	48,88,40	725,593,584	338	149	1	1.0	0.064,0.061,0.052,0.06	0.028,0.061,0.029	0.02
2875	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863552	160865117	160863552	160863584	160865074	160865117	2875	631,829,609,705	0,0,6,0	491,545,375	0,0,0	1639	149	1	1.0	1.0,1.0,0.902,1.0	1.0,1.0,1.0	-0.024
2876	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863777	160865117	160863777	160863814	160865074	160865117	2876	551,749,535,631	0,0,2,0	445,468,329	0,0,0	1409	149	1	1.0	1.0,1.0,0.966,1.0	1.0,1.0,1.0	-0.008
2878	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865117	160864389	160864422	160865074	160865117	2878	255,371,256,353	1,0,0,2	213,236,166	1,0,0	801	149	1	1.0	0.979,1.0,1.0,0.97	0.975,1.0,1.0	-0.004
2879	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865117	160864389	160864426	160865074	160865117	2879	253,371,253,351	0,3,0,0	209,236,163	0,0,3	797	149	1	1.0	1.0,0.959,1.0,1.0	1.0,1.0,0.91	0.02
2880	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865117	160864389	160864894	160865074	160865117	2880	83,138,75,99	0,1,0,0	46,82,39	0,0,1	329	149	1	1.0	1.0,0.984,1.0,1.0	1.0,1.0,0.946	0.014
2882	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865117	160864389	160864422	160865095	160865117	2882	391,578,375,503	1,0,0,0	341,392,341	1,0,0	822	149	1	1.0	0.986,1.0,1.0,1.0	0.984,1.0,1.0	0.002
2883	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865607	160864389	160864422	160865564	160865607	2883	291,485,281,438	0,2,0,0	232,277,192	1,0,4	1291	149	1	1.0	1.0,0.966,1.0,1.0	0.964,1.0,0.847	0.055
2884	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160864389	160865607	160864389	160865117	160865564	160865607	2884	71,175,55,117	545,964,567,686	47,72,41	660,601,618	596	149	1	1.0	0.032,0.043,0.024,0.041	0.017,0.029,0.016	0.014
2886	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160865564	160865842	160865564	160865607	160865794	160865842	2886	57,105,61,71	458,782,479,575	27,72,55	558,503,494	336	149	1	1.0	0.052,0.056,0.053,0.052	0.021,0.06,0.047	0.011
2888	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160863321	160866109	160863321	160865842	160866026	160866109	2888	22,78,64,61	308,553,302,387	51,51,47	371,361,347	333	149	1	1.0	0.031,0.059,0.087,0.066	0.058,0.059,0.057	0.003
2889	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160865564	160866109	160865564	160865607	160866026	160866109	2889	59,151,100,110	0,1,0,4	58,101,77	0,0,0	568	149	1	1.0	1.0,0.975,1.0,0.878	1.0,1.0,1.0	-0.037
2890	"ENSMUSG00000053332.16"	"Gas5"	chr1	+	160865794	160866109	160865794	160865833	160866026	160866109	2890	31,116,90,93	0,0,4,2	68,66,64	1,0,0	342	149	1	1.0	1.0,1.0,0.907,0.953	0.967,1.0,1.0	-0.024
2893	"ENSMUSG00000015790.17"	"Surf1"	chr2	-	26805607	26806018	26805607	26805741	26805966	26806018	2893	57,57,26,53	80,102,47,58	51,44,39	111,87,93	374	149	1	1.0	0.221,0.182,0.181,0.267	0.155,0.168,0.143	0.057
2894	"ENSMUSG00000015790.17"	"Surf1"	chr2	-	26805607	26806018	26805607	26805761	26805966	26806018	2894	26,41,14,36	11,8,20,0	25,24,13	10,0,6	354	149	1	1.0	0.499,0.683,0.228,1.0	0.513,1.0,0.477	-0.061
2895	"ENSMUSG00000015790.17"	"Surf1"	chr2	-	26805607	26806018	26805607	26805781	26805966	26806018	2895	12,26,7,26	56,79,60,46	10,7,7	85,110,79	334	149	1	1.0	0.087,0.128,0.049,0.201	0.05,0.028,0.038	0.078
2896	"ENSMUSG00000015790.17"	"Surf1"	chr2	-	26805607	26806018	26805607	26805796	26805966	26806018	2896	12,26,7,22	9,4,4,2	8,4,7	3,5,4	319	149	0.400043512113	1.0	0.384,0.752,0.45,0.837	0.555,0.272,0.45	0.18
2898	"ENSMUSG00000014778.11"	"Fhod1"	chr8	-	106058273	106058824	106058273	106058456	106058668	106058824	2898	27,37,30,16	2,4,3,2	20,8,25	3,4,3	361	149	0.863978897881	1.0	0.848,0.792,0.805,0.768	0.733,0.452,0.775	0.15
2899	"ENSMUSG00000039768.17"	"Dnajc11"	chr4	+	152052955	152055387	152052955	152053084	152055313	152055387	2899	47,104,74,50	0,0,0,0	75,48,61	1,0,0	2378	149	1	1.0	1.0,1.0,1.0,1.0	0.825,1.0,1.0	0.058
2901	"ENSMUSG00000039768.17"	"Dnajc11"	chr4	+	152063728	152064043	152063728	152063786	152063900	152064043	2901	3,18,3,19	130,145,102,96	9,11,6	155,143,152	263	149	1	1.0	0.013,0.066,0.016,0.101	0.032,0.042,0.022	0.017
2902	"ENSMUSG00000032313.12"	"Tmem266"	chr9	+	55342474	55345629	55342474	55342537	55344390	55345629	2902	25,28,20,36	53,86,67,79	20,37,20	64,66,77	2002	149	1	1.0	0.034,0.024,0.022,0.033	0.023,0.04,0.019	0.001
2903	"ENSMUSG00000006301.18"	"Tmbim1"	chr1	-	74330589	74330893	74330589	74330627	74330853	74330893	2903	16,27,10,4	147,221,185,165	11,26,27	265,180,193	375	149	1	1.0	0.041,0.046,0.021,0.01	0.016,0.054,0.053	-0.012
2904	"ENSMUSG00000006301.18"	"Tmbim1"	chr1	-	74330853	74332047	74330853	74330893	74331993	74332047	2904	51,74,72,64	2,0,2,0	40,56,47	0,8,4	1249	149	0.0280118918474	1.0	0.753,1.0,0.811,1.0	1.0,0.455,0.584	0.211
2910	"ENSMUSG00000036928.15"	"Stag3"	chr5	+	138294963	138295687	138294963	138295087	138295588	138295687	2910	2,1,9,2	0,2,0,0	1,0,0	0,0,0	650	149	1	1.0	1.0,0.103,1.0,1.0	1.0,NA,NA	-0.224
2911	"ENSMUSG00000033769.17"	"Exoc6b"	chr6	-	84831682	84832528	84831682	84831780	84832456	84832528	2911	0,5,0,2	96,202,105,89	1,0,0	136,136,141	825	149	1	1.0	0.0,0.004,0.0,0.004	0.001,0.0,0.0	0.002
2912	"ENSMUSG00000033769.17"	"Exoc6b"	chr6	-	84980029	84980267	84980029	84980075	84980176	84980267	2912	9,9,2,4	115,177,130,168	5,6,2	185,149,168	250	149	1	1.0	0.045,0.029,0.009,0.014	0.016,0.023,0.007	0.009
2923	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566436	116566816	116566436	116566470	116566634	116566816	2923	13,16,9,16	5,25,1,6	4,11,4	1,1,5	313	149	0.921382157413	1.0	0.553,0.234,0.811,0.559	0.656,0.84,0.276	-0.051
2924	"ENSMUSG00000028689.15"	"Ccdc163"	chr4	+	116566436	116566816	116566436	116566470	116566678	116566816	2924	15,22,14,21	0,1,0,0	7,11,7	0,0,0	357	149	1	1.0	1.0,0.902,1.0,1.0	1.0,1.0,1.0	-0.024
2925	"ENSMUSG00000121277.2"	"Gm57184"	chr1	+	72303901	72305895	72303901	72304051	72305616	72305895	2925	104,145,114,101	0,0,0,1	102,155,109	0,0,2	1714	149	1	1.0	1.0,1.0,1.0,0.898	1.0,1.0,0.826	0.032
2926	"ENSMUSG00000086350.4"	"B230369F24Rik"	chr1	-	178140884	178143013	178140884	178141406	178142957	178143013	2926	136,195,149,169	0,0,4,2	126,130,141	0,0,0	1700	149	1	1.0	1.0,1.0,0.766,0.881	1.0,1.0,1.0	-0.088
2927	"ENSMUSG00000086350.4"	"B230369F24Rik"	chr1	-	178141563	178143013	178141563	178142871	178142957	178143013	2927	24,24,18,16	0,0,0,0	21,11,22	0,0,1	235	149	1	1.0	1.0,1.0,1.0,1.0	1.0,1.0,0.933	0.022
2928	"ENSMUSG00000126186.1"	"ENSMUSG00000126186"	chr2	-	75285052	75285355	75285052	75285164	75285255	75285355	2928	1,0,0,0	0,0,0,0	0,0,0	0,0,2	240	149	1	1.0	1.0,NA,NA,NA	NA,NA,0.0	1.0
2930	"ENSMUSG00000029528.20"	"Pxn"	chr5	+	115683430	115683864	115683430	115683567	115683662	115683864	2930	0,0,0,0	46,42,29,26	0,0,1	38,30,73	244	149	1	1.0	0.0,0.0,0.0,0.0	0.0,0.0,0.008	-0.003
2933	"ENSMUSG00000110692.3"	"Gm33460"	chr9	-	118317081	118318005	118317081	118317354	118317845	118318005	2933	0,0,0,2	0,6,0,0	0,4,0	0,0,0	640	149	1	1.0	NA,0.0,NA,1.0	NA,1.0,NA	-0.5
2937	"ENSMUSG00000003033.16"	"Ap1m1"	chr8	+	73007052	73007477	73007052	73007124	73007318	73007477	2937	45,60,61,80	175,273,186,196	49,47,46	235,217,186	343	149	1	1.0	0.1,0.087,0.125,0.151	0.083,0.086,0.097	0.027
2938	"ENSMUSG00000085227.4"	"6330418K02Rik"	chr5	+	138264018	138264920	138264018	138264267	138264488	138264920	2938	44,47,35,35	2,0,11,2	52,35,36	0,3,2	370	149	1	1.0	0.899,1.0,0.562,0.876	1.0,0.825,0.879	-0.067
2942	"ENSMUSG00000034949.19"	"Zfr2"	chr10	+	81078603	81079629	81078603	81078790	81079483	81079629	2942	25,71,42,47	39,106,73,54	30,57,40	79,65,74	842	149	1	1.0	0.102,0.106,0.092,0.133	0.063,0.134,0.087	0.014
2943	"ENSMUSG00000032913.14"	"Lrig2"	chr3	-	104372802	104374679	104372802	104373084	104374358	104374679	2943	3,3,3,2	36,88,72,67	10,3,4	36,46,58	1423	149	1	1.0	0.009,0.004,0.004,0.003	0.028,0.007,0.007	-0.009
2944	"ENSMUSG00000003199.17"	"Mpnd"	chr17	+	56319270	56319492	56319270	56319343	56319415	56319492	2944	25,32,26,18	227,268,210,233	19,10,25	283,236,261	221	149	1	1.0	0.069,0.075,0.077,0.05	0.043,0.028,0.061	0.024
2945	"ENSMUSG00000051586.18"	"Mical3"	chr6	-	120993607	120998317	120993607	120993820	120998143	120998317	2945	157,271,153,134	0,0,0,0	153,119,126	0,1,0	4472	149	1	1.0	1.0,1.0,1.0,1.0	1.0,0.799,1.0	0.067
